Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 042, train loss: 0.01, train accuracy: 99.74%, valid loss: 1.65, valid accuracy: 69.41%, test loss: 1.55, test accuracy: 67.70%
Epochs 043, train loss: 0.31, train accuracy: 91.58%, valid loss: 1.96, valid accuracy: 65.41%, test loss: 1.90, test accuracy: 62.57%
Epochs 044, train loss: 0.32, train accuracy: 88.16%, valid loss: 1.60, valid accuracy: 63.67%, test loss: 1.52, test accuracy: 61.26%
Epochs 045, train loss: 0.10, train accuracy: 97.02%, valid loss: 1.61, valid accuracy: 64.69%, test loss: 1.49, test accuracy: 63.69%
Epochs 046, train loss: 0.03, train accuracy: 99.74%, valid loss: 1.38, valid accuracy: 68.13%, test loss: 1.22, test accuracy: 67.91%
Epochs 047, train loss: 0.01, train accuracy: 100.00%, valid loss: 1.33, valid accuracy: 70.12%, test loss: 1.20, test accuracy: 68.26%
Epochs 048, train loss: 0.01, train accuracy: 100.00%, valid loss: 1.34, valid accuracy: 70.92%, test loss: 1.21, test accuracy: 69.63%
Epochs 049, train loss: 0.01, train accuracy: 100.00%, valid loss: 1.38, valid accuracy: 70.21%, test loss: 1.24, test accuracy: 68.69%
Epochs 050, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.40, valid accuracy: 70.85%, test loss: 1.26, test accuracy: 69.39%
Epochs 051, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.42, valid accuracy: 70.63%, test loss: 1.28, test accuracy: 69.49%
Epochs 052, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.44, valid accuracy: 70.47%, test loss: 1.29, test accuracy: 69.22%
Epochs 053, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.46, valid accuracy: 70.60%, test loss: 1.31, test accuracy: 69.25%
Epochs 054, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.48, valid accuracy: 70.52%, test loss: 1.33, test accuracy: 69.36%
Epochs 055, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.49, valid accuracy: 70.39%, test loss: 1.35, test accuracy: 69.22%
Epochs 056, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.51, valid accuracy: 70.40%, test loss: 1.36, test accuracy: 69.17%
Epochs 057, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.53, valid accuracy: 70.31%, test loss: 1.38, test accuracy: 69.09%
Epochs 058, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.55, valid accuracy: 70.16%, test loss: 1.39, test accuracy: 68.98%
Epochs 059, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.56, valid accuracy: 70.21%, test loss: 1.41, test accuracy: 68.96%
Epochs 060, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.57, valid accuracy: 70.16%, test loss: 1.42, test accuracy: 68.90%
Epochs 061, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.59, valid accuracy: 70.13%, test loss: 1.43, test accuracy: 68.98%
Epochs 062, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.60, valid accuracy: 70.04%, test loss: 1.44, test accuracy: 68.90%
Epochs 063, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.61, valid accuracy: 69.99%, test loss: 1.46, test accuracy: 68.90%
Epochs 064, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.63, valid accuracy: 69.92%, test loss: 1.47, test accuracy: 68.74%
Epochs 065, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.64, valid accuracy: 69.85%, test loss: 1.48, test accuracy: 68.90%
Epochs 066, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.65, valid accuracy: 69.84%, test loss: 1.49, test accuracy: 68.88%
Epochs 067, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.66, valid accuracy: 69.77%, test loss: 1.51, test accuracy: 68.80%
Epochs 068, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.67, valid accuracy: 69.73%, test loss: 1.51, test accuracy: 68.74%
Epochs 069, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.68, valid accuracy: 69.72%, test loss: 1.53, test accuracy: 68.74%
Epochs 070, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.69, valid accuracy: 69.77%, test loss: 1.53, test accuracy: 68.77%
Epochs 071, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.71, valid accuracy: 69.69%, test loss: 1.55, test accuracy: 68.69%
Epochs 072, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.72, valid accuracy: 69.72%, test loss: 1.56, test accuracy: 68.66%
Epochs 073, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.73, valid accuracy: 69.79%, test loss: 1.56, test accuracy: 68.77%
Epochs 074, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.74, valid accuracy: 69.73%, test loss: 1.58, test accuracy: 68.61%
Epochs 075, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.75, valid accuracy: 69.77%, test loss: 1.59, test accuracy: 68.61%
Epochs 076, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.76, valid accuracy: 69.73%, test loss: 1.59, test accuracy: 68.48%
Epochs 077, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.77, valid accuracy: 69.64%, test loss: 1.61, test accuracy: 68.45%
Epochs 078, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.77, valid accuracy: 69.77%, test loss: 1.61, test accuracy: 68.53%
Epochs 079, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.78, valid accuracy: 69.61%, test loss: 1.62, test accuracy: 68.56%
Epochs 080, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.79, valid accuracy: 69.72%, test loss: 1.63, test accuracy: 68.50%
Epochs 081, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.80, valid accuracy: 69.64%, test loss: 1.64, test accuracy: 68.37%
Epochs 082, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.81, valid accuracy: 69.63%, test loss: 1.65, test accuracy: 68.42%
Epochs 083, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.82, valid accuracy: 69.60%, test loss: 1.66, test accuracy: 68.48%
Epochs 084, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.83, valid accuracy: 69.56%, test loss: 1.67, test accuracy: 68.29%
Epochs 085, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.84, valid accuracy: 69.60%, test loss: 1.67, test accuracy: 68.37%
Epochs 086, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.85, valid accuracy: 69.64%, test loss: 1.68, test accuracy: 68.45%
Epochs 087, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.86, valid accuracy: 69.57%, test loss: 1.69, test accuracy: 68.34%
Epochs 088, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.87, valid accuracy: 69.59%, test loss: 1.70, test accuracy: 68.26%
Epochs 089, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.87, valid accuracy: 69.60%, test loss: 1.71, test accuracy: 68.26%
Epochs 090, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.88, valid accuracy: 69.57%, test loss: 1.71, test accuracy: 68.29%
Epochs 091, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.89, valid accuracy: 69.63%, test loss: 1.72, test accuracy: 68.34%
Epochs 092, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.90, valid accuracy: 69.55%, test loss: 1.73, test accuracy: 68.32%
