Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 042, train loss: 0.11, train accuracy: 100.00%, valid loss: 1.56, valid accuracy: 71.24%, test loss: 1.42, test accuracy: 70.00%
Epochs 043, train loss: 0.11, train accuracy: 100.00%, valid loss: 1.51, valid accuracy: 72.47%, test loss: 1.40, test accuracy: 69.89%
Epochs 044, train loss: 0.11, train accuracy: 100.00%, valid loss: 1.58, valid accuracy: 71.59%, test loss: 1.46, test accuracy: 69.49%
Epochs 045, train loss: 0.10, train accuracy: 100.00%, valid loss: 1.60, valid accuracy: 70.84%, test loss: 1.43, test accuracy: 70.45%
Epochs 046, train loss: 0.10, train accuracy: 100.00%, valid loss: 1.67, valid accuracy: 69.68%, test loss: 1.47, test accuracy: 69.36%
Epochs 047, train loss: 0.10, train accuracy: 99.91%, valid loss: 1.65, valid accuracy: 70.51%, test loss: 1.48, test accuracy: 69.95%
Epochs 048, train loss: 0.10, train accuracy: 100.00%, valid loss: 1.63, valid accuracy: 71.42%, test loss: 1.47, test accuracy: 70.64%
Epochs 049, train loss: 0.09, train accuracy: 100.00%, valid loss: 1.68, valid accuracy: 71.66%, test loss: 1.54, test accuracy: 69.71%
Epochs 050, train loss: 0.09, train accuracy: 100.00%, valid loss: 1.74, valid accuracy: 71.47%, test loss: 1.67, test accuracy: 66.60%
Epochs 051, train loss: 0.09, train accuracy: 100.00%, valid loss: 1.70, valid accuracy: 71.56%, test loss: 1.58, test accuracy: 69.01%
Epochs 052, train loss: 0.09, train accuracy: 100.00%, valid loss: 1.73, valid accuracy: 71.58%, test loss: 1.59, test accuracy: 69.09%
Epochs 053, train loss: 0.08, train accuracy: 100.00%, valid loss: 1.71, valid accuracy: 71.92%, test loss: 1.55, test accuracy: 70.80%
Epochs 054, train loss: 0.08, train accuracy: 100.00%, valid loss: 1.79, valid accuracy: 70.67%, test loss: 1.63, test accuracy: 69.47%
Epochs 055, train loss: 0.08, train accuracy: 100.00%, valid loss: 1.78, valid accuracy: 71.24%, test loss: 1.59, test accuracy: 70.94%
Epochs 056, train loss: 0.08, train accuracy: 100.00%, valid loss: 1.78, valid accuracy: 71.38%, test loss: 1.58, test accuracy: 70.94%
Epochs 057, train loss: 0.08, train accuracy: 100.00%, valid loss: 1.82, valid accuracy: 71.23%, test loss: 1.63, test accuracy: 70.61%
Epochs 058, train loss: 0.08, train accuracy: 100.00%, valid loss: 1.85, valid accuracy: 70.84%, test loss: 1.63, test accuracy: 70.99%
Epochs 059, train loss: 0.07, train accuracy: 100.00%, valid loss: 1.83, valid accuracy: 71.68%, test loss: 1.64, test accuracy: 70.88%
Epochs 060, train loss: 0.07, train accuracy: 100.00%, valid loss: 1.86, valid accuracy: 72.03%, test loss: 1.70, test accuracy: 69.84%
Epochs 061, train loss: 0.07, train accuracy: 100.00%, valid loss: 1.89, valid accuracy: 70.99%, test loss: 1.67, test accuracy: 70.72%
Epochs 062, train loss: 0.07, train accuracy: 100.00%, valid loss: 1.93, valid accuracy: 71.00%, test loss: 1.71, test accuracy: 70.45%
Epochs 063, train loss: 0.07, train accuracy: 100.00%, valid loss: 1.95, valid accuracy: 70.81%, test loss: 1.74, test accuracy: 70.03%
Epochs 064, train loss: 0.06, train accuracy: 100.00%, valid loss: 1.94, valid accuracy: 71.39%, test loss: 1.74, test accuracy: 70.70%
Epochs 065, train loss: 0.06, train accuracy: 100.00%, valid loss: 1.97, valid accuracy: 71.80%, test loss: 1.78, test accuracy: 69.71%
