Reading data...Done
(10, 2623, 2772)
(10, 2623)
(10, 374, 2772)
(10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 043, train loss: 0.01, train accuracy: 99.87%, valid loss: 0.05, valid accuracy: 98.74%, test loss: 0.05, test accuracy: 98.72%
Epochs 044, train loss: 0.04, train accuracy: 99.05%, valid loss: 0.06, valid accuracy: 98.02%, test loss: 0.07, test accuracy: 98.24%
Epochs 045, train loss: 0.04, train accuracy: 98.91%, valid loss: 0.04, valid accuracy: 98.91%, test loss: 0.04, test accuracy: 99.33%
Epochs 046, train loss: 0.02, train accuracy: 99.74%, valid loss: 0.06, valid accuracy: 98.26%, test loss: 0.06, test accuracy: 98.40%
Epochs 047, train loss: 0.04, train accuracy: 98.95%, valid loss: 0.04, valid accuracy: 98.89%, test loss: 0.04, test accuracy: 99.20%
Epochs 048, train loss: 0.02, train accuracy: 99.49%, valid loss: 0.05, valid accuracy: 98.74%, test loss: 0.05, test accuracy: 98.64%
Epochs 049, train loss: 0.02, train accuracy: 99.62%, valid loss: 0.04, valid accuracy: 98.76%, test loss: 0.04, test accuracy: 98.90%
Epochs 050, train loss: 0.02, train accuracy: 99.50%, valid loss: 0.07, valid accuracy: 97.81%, test loss: 0.07, test accuracy: 97.91%
Epochs 051, train loss: 0.02, train accuracy: 99.50%, valid loss: 0.05, valid accuracy: 98.84%, test loss: 0.05, test accuracy: 99.01%
Epochs 052, train loss: 0.03, train accuracy: 99.13%, valid loss: 0.06, valid accuracy: 98.38%, test loss: 0.06, test accuracy: 98.45%
Epochs 053, train loss: 0.01, train accuracy: 99.69%, valid loss: 0.17, valid accuracy: 95.46%, test loss: 0.24, test accuracy: 93.40%
Epochs 054, train loss: 0.01, train accuracy: 99.97%, valid loss: 0.05, valid accuracy: 98.50%, test loss: 0.06, test accuracy: 98.29%
Epochs 055, train loss: 0.05, train accuracy: 98.66%, valid loss: 0.04, valid accuracy: 99.04%, test loss: 0.04, test accuracy: 98.90%
Epochs 056, train loss: 0.03, train accuracy: 99.03%, valid loss: 0.04, valid accuracy: 98.80%, test loss: 0.04, test accuracy: 98.96%
Epochs 057, train loss: 0.01, train accuracy: 99.95%, valid loss: 0.04, valid accuracy: 98.93%, test loss: 0.05, test accuracy: 98.85%
Epochs 058, train loss: 0.02, train accuracy: 99.40%, valid loss: 0.04, valid accuracy: 98.80%, test loss: 0.04, test accuracy: 98.90%
Epochs 059, train loss: 0.00, train accuracy: 99.98%, valid loss: 0.04, valid accuracy: 98.93%, test loss: 0.04, test accuracy: 98.90%
Epochs 060, train loss: 0.02, train accuracy: 99.51%, valid loss: 0.04, valid accuracy: 99.01%, test loss: 0.03, test accuracy: 99.12%
Epochs 061, train loss: 0.01, train accuracy: 99.90%, valid loss: 0.04, valid accuracy: 99.07%, test loss: 0.04, test accuracy: 99.09%
Epochs 062, train loss: 0.05, train accuracy: 98.60%, valid loss: 0.04, valid accuracy: 98.88%, test loss: 0.04, test accuracy: 98.85%
Epochs 063, train loss: 0.01, train accuracy: 99.91%, valid loss: 0.10, valid accuracy: 97.00%, test loss: 0.09, test accuracy: 97.17%
Epochs 064, train loss: 0.00, train accuracy: 99.99%, valid loss: 0.05, valid accuracy: 98.41%, test loss: 0.06, test accuracy: 98.37%
Epochs 065, train loss: 0.03, train accuracy: 99.25%, valid loss: 0.04, valid accuracy: 98.93%, test loss: 0.04, test accuracy: 98.82%
Epochs 066, train loss: 0.01, train accuracy: 99.92%, valid loss: 0.04, valid accuracy: 98.68%, test loss: 0.04, test accuracy: 98.93%
Epochs 067, train loss: 0.04, train accuracy: 98.95%, valid loss: 0.03, valid accuracy: 99.15%, test loss: 0.04, test accuracy: 98.90%
Epochs 068, train loss: 0.00, train accuracy: 99.98%, valid loss: 0.05, valid accuracy: 98.50%, test loss: 0.05, test accuracy: 98.66%
Epochs 069, train loss: 0.00, train accuracy: 100.00%, valid loss: 0.04, valid accuracy: 98.84%, test loss: 0.04, test accuracy: 99.12%
Epochs 070, train loss: 0.03, train accuracy: 99.15%, valid loss: 0.03, valid accuracy: 99.08%, test loss: 0.04, test accuracy: 99.01%
Epochs 071, train loss: 0.03, train accuracy: 99.17%, valid loss: 0.03, valid accuracy: 99.12%, test loss: 0.05, test accuracy: 98.98%
Epochs 072, train loss: 0.00, train accuracy: 100.00%, valid loss: 0.05, valid accuracy: 98.77%, test loss: 0.07, test accuracy: 98.64%
Epochs 073, train loss: 0.00, train accuracy: 99.99%, valid loss: 0.05, valid accuracy: 98.85%, test loss: 0.05, test accuracy: 98.80%
